pitcherFirstName,pitcherLastName,f0_,seasonType,year
Albertin,Chapman,96.514112903225822,REG,2016
Zachary,Britton,94.59103908484272,REG,2016
Trevor,Rosenthal,94.2139534883721,REG,2016
Jose,Torres,94.103448275862078,REG,2016
Tayron,Guerrero,93.86363636363636,REG,2016
Brian,Ellington,93.749565217391265,REG,2016
Carlos,Estevez,93.715257531584058,REG,2016
Jorge,Rondon,93.475000000000023,REG,2016
Thomas,Kahnle,93.2614770459082,REG,2016
Patrick,Schultz,93.160305343511453,REG,2016
Arquimedes,Caminero,93.140459363957632,REG,2016
Mauricio,Cabrera,92.776611694152933,REG,2016
Jose,Dominguez,92.750000000000014,REG,2016
Craig,Kimbrel,92.6635021097046,REG,2016
Jeurys,Familia,92.636006289308142,REG,2016
Pedro,Baez,92.558970099667818,REG,2016
Jon,Chargois,92.4794520547945,REG,2016
Samuel,Dyson,92.031999999999954,REG,2016
Jandel,Gustave,92.0123966942149,REG,2016
Koda,Glover,91.971153846153868,REG,2016
Samuel,Tuivailala,91.881516587677751,REG,2016
Joshua,Ravin,91.8791946308725,REG,2016
Enny,Romero,91.7901840490798,REG,2016
Daniel,Altavilla,91.7401129943503,REG,2016
Roberto,Osuna,91.636842105263071,REG,2016
Matthew,Bush,91.607105538140047,REG,2016
Blake,Treinen,91.599206349206341,REG,2016
Hunter,Strickland,91.597490347490265,REG,2016
Damien,Magnifico,91.581818181818193,REG,2016
Dennis,Tepera,91.559726962457347,REG,2016
Jacob,Diekman,91.559574468085145,REG,2016
James,Paxton,91.556006082108468,REG,2016
Bruce,Rondon,91.523560209424119,REG,2016
Edwin,Diaz,91.328621908127218,REG,2016
Zachary,McAllister,91.306866952789761,REG,2016
Nefi,Ogando,91.301724137931046,REG,2016
Joshua,Osich,91.292517006802726,REG,2016
Sean,Doolittle,91.223509933774849,REG,2016
Austin,Adams,91.20872274143305,REG,2016
Kenneth,Giles,91.1859430604982,REG,2016
Kelvin,Herrera,91.183123877917453,REG,2016
Noah,Syndergaard,91.062953197099546,REG,2016
Jose,Urena,91.043418332184771,REG,2016
Neftali,Feliz,91.022012578616327,REG,2016
Nathan,Jones,91.001941747572886,REG,2016
